"scientificName","catalogNumber","institutionCode","year","month","day","decimalLongitude","decimalLatitude"
"Podocarpus nubigenus Lindl.","108757491","iNaturalist",2022,1,7,-73.029961,-41.123634
"Podocarpus nubigenus Lindl.","","",2018,NA,NA,-72.044,-39.775
"Podocarpus nubigenus Lindl.","","",2017,NA,NA,-72.729,-39.49
"Podocarpus nubigenus Lindl.","108260334","iNaturalist",2019,1,26,-73.326112,-39.700092
"Podocarpus nubigenus Lindl.","104370398","iNaturalist",2013,2,21,-72.095138,-40.694973
"Podocarpus nubigenus Lindl.","104370395","iNaturalist",2013,2,21,-72.094366,-40.697125
"Podocarpus nubigenus Lindl.","104370393","iNaturalist",2013,2,21,-72.090847,-40.694453
"Podocarpus nubigenus Lindl.","101872815","iNaturalist",2011,10,30,-74.102726,-42.617502
"Podocarpus nubigenus Lindl.","100916061","iNaturalist",2006,3,19,-72.527697,-44.452625
"Podocarpus nubigenus Lindl.","99766322","iNaturalist",2021,8,18,-71.847312,-39.291612
"Podocarpus nubigenus Lindl.","98534957","iNaturalist",2021,10,17,-72.977243,-41.322428
"Podocarpus nubigenus Lindl.","98064695","iNaturalist",2021,10,5,-74.000305,-42.40221
"Podocarpus nubigenus Lindl.","97860997","iNaturalist",2021,10,10,-72.269897,-41.29185
"Podocarpus nubigenus Lindl.","95870491","iNaturalist",2021,9,22,-73.120705,-39.357607
"Podocarpus nubigenus Lindl.","94022318","iNaturalist",2016,2,20,-74.08295,-42.422888
"Podocarpus nubigenus Lindl.","94022033","iNaturalist",2009,7,31,-73.916155,-42.778051
"Podocarpus nubigenus Lindl.","93376889","iNaturalist",2012,2,13,-71.988827,-45.523167
"Podocarpus nubigenus Lindl.","94022154","iNaturalist",2016,2,20,-74.08295,-42.422888
"Podocarpus nubigenus Lindl.","94022494","iNaturalist",2016,2,20,-73.478056,-42.144713
"Podocarpus nubigenus Lindl.","93727004","iNaturalist",2021,8,31,-73.211433,-39.468099
"Podocarpus nubigenus Lindl.","92968698","iNaturalist",2011,1,24,-72.611857,-41.582621
"Podocarpus nubigenus Lindl.","89922399","iNaturalist",2021,8,4,-72.618548,-41.509595
"Podocarpus nubigenus Lindl.","87597018","iNaturalist",2021,7,18,-72.978256,-41.322781
"Podocarpus nubigenus Lindl.","53532361","iNaturalist",2020,7,18,-73.622903,-41.679387
"Podocarpus nubigenus Lindl.","55658589","iNaturalist",2020,8,5,-73.315687,-39.774539
"Podocarpus nubigenus Lindl.","41459713","iNaturalist",2020,2,18,-72.162482,-40.676367
"Podocarpus nubigenus Lindl.","79300637","iNaturalist",2014,11,17,-73.234616,-41.66447
"Podocarpus nubigenus Lindl.","50491165","iNaturalist",2017,2,21,-73.751244,-40.612075
"Podocarpus nubigenus Lindl.","33537890","iNaturalist",2019,9,26,-73.950668,-42.274243
"Podocarpus nubigenus Lindl.","70379143","iNaturalist",2006,1,20,-72.682281,-44.729919
"Podocarpus nubigenus Lindl.","11864","UCh",2016,12,13,-73.196211,-46.480273
"Podocarpus nubigenus Lindl.","49661024","iNaturalist",2020,6,14,-73.862841,-42.48949
"Podocarpus nubigenus Lindl.","46773077","iNaturalist",2020,5,21,-72.513522,-44.234013
"Podocarpus nubigenus Lindl.","39583883","iNaturalist",2018,2,6,-73.434843,-40.19369
"Podocarpus nubigenus Lindl.","39325944","iNaturalist",2020,2,28,-73.785088,-42.482865
"Podocarpus nubigenus Lindl.","38265252","iNaturalist",2020,2,3,-72.4738,-41.969192
"Podocarpus nubigenus Lindl.","38705732","iNaturalist",2020,1,30,-73.957463,-42.682417
"Podocarpus nubigenus Lindl.","38129809","iNaturalist",2020,1,29,-73.784822,-43.015671
"Podocarpus nubigenus Lindl.","31968282","iNaturalist",2019,9,1,-73.564933,-41.893178
"Podocarpus nubigenus Lindl.","BR0000005159925","MeiseBG",2009,11,14,-71.716667,-39.15
"Podocarpus nubigenus Lindl.","E00843029","RBGE",2017,3,8,-73.314444,-39.694167
"Podocarpus nubigenus Lindl.","20170960","E",2017,3,8,-73.306917,-39.696889
"Podocarpus nubigenus Lindl.","20170963","E",2017,3,14,-72.598056,-41.548417
"Podocarpus nubigenus Lindl.","20170961","E",2017,3,12,-72.402417,-42.386889
"Podocarpus nubigenus Lindl.","20170964","E",2017,3,14,-72.593444,-41.547722
"Podocarpus nubigenus Lindl.","E00813546","RBGE",2017,3,12,-72.394444,-42.388056
"Podocarpus nubigenus Lindl.","E00840134","RBGE",2017,3,15,-72.604167,-41.553889
"Podocarpus nubigenus Lindl.","20170282","E",2017,3,12,-72.402917,-42.386583
"Podocarpus salignus D.Don","K000552693","K",2003,12,26,-71.633333,-36.883334
"Podocarpus salignus D.Don","K000552695","K",2003,12,25,-71.633333,-36.883334
"Podocarpus salignus D.Don","E00662705","RBGE",2013,1,25,-73.142222,-39.827778
"Podocarpus salignus D.Don","E00647246","RBGE",2013,1,22,-73.308333,-39.890833
"Podocarpus salignus D.Don","E00647289","RBGE",2013,1,13,-71.490278,-36.97
"Podocarpus salignus D.Don","E00647306","RBGE",2013,1,16,-73.098056,-37.821667
"Podocarpus salignus D.Don","E00649041","RBGE",2013,1,12,-71.468611,-36.958333
"Podocarpus salignus D.Don","E00625766","RBGE",2013,1,12,-71.484722,-36.966944
"Podocarpus salignus D.Don","E00625765","RBGE",2013,1,13,-71.489722,-36.969444
"Podocarpus salignus D.Don","E00625761","RBGE",2013,1,12,-71.484722,-36.966944
"Podocarpus salignus D.Don","20130192","E",2013,1,13,-71.48975,-36.969417
"Podocarpus salignus D.Don","20130185","E",2013,1,12,-71.468556,-36.958306
"Podocarpus salignus D.Don","20130199","E",2013,1,13,-71.490194,-36.97
"Podocarpus salignus D.Don","20130182","E",2013,1,12,-71.48475,-36.966972
"Podocarpus salignus D.Don","E00593099","RBGE",2012,4,1,-71.626389,-36.890833
"Podocarpus salignus D.Don","E00158594","RBGE",2003,2,4,-72.916111,-36.693056
"Podocarpus salignus D.Don","E00420552","RBGE",2011,2,25,-71.404722,-36.315556
"Podocarpus salignus D.Don","E00420551","RBGE",2011,2,25,-71.404722,-36.315556
"Podocarpus salignus D.Don","E00420540","RBGE",2011,2,25,-71.404444,-36.315556
"Podocarpus salignus D.Don","E00420548","RBGE",2011,2,25,-71.405833,-36.320833
"Podocarpus salignus D.Don","E00420549","RBGE",2011,2,25,-71.405833,-36.321111
"Podocarpus salignus D.Don","E00158741","RBGE",2003,2,9,-72.836944,-37.848333
"Podocarpus salignus D.Don","E00420558","RBGE",2011,2,25,-71.403889,-36.316944
"Podocarpus salignus D.Don","E00420554","RBGE",2011,2,25,-71.405833,-36.321389
"Podocarpus salignus D.Don","E00420541","RBGE",2011,2,25,-71.403333,-36.312778
"Podocarpus salignus D.Don","E00420553","RBGE",2011,2,25,-71.405833,-36.321389
"Podocarpus salignus D.Don","E00420547","RBGE",2011,2,25,-71.405833,-36.320833
"Podocarpus salignus D.Don","E00420546","RBGE",2011,2,25,-71.404722,-36.315833
"Podocarpus salignus D.Don","E00420545","RBGE",2011,2,25,-71.404722,-36.315833
"Podocarpus salignus D.Don","E00158608","RBGE",2003,1,30,-71.151667,-35.857222
"Podocarpus salignus D.Don","E00420544","RBGE",2011,2,25,-71.405833,-36.305
"Podocarpus salignus D.Don","E00420561","RBGE",2011,2,25,-71.405556,-36.320833
"Podocarpus salignus D.Don","E00420560","RBGE",2011,2,25,-71.403889,-36.316944
"Podocarpus salignus D.Don","E00167239","RBGE",2002,9,21,-73.316111,-39.7
"Podocarpus salignus D.Don","E00420543","RBGE",2011,2,25,-71.405833,-36.305
"Podocarpus salignus D.Don","E00182341","RBGE",2003,12,26,-71.628056,-36.89
"Podocarpus salignus D.Don","E00182642","RBGE",2003,12,26,-71.628056,-36.89
"Podocarpus salignus D.Don","E00420562","RBGE",2011,2,25,-71.405556,-36.320833
